
Similarity
Label,n,CT-Ter-2,CT-Ter-10,CT-1,CT-2,CT-3,CT-4,CT-5,CT-6,CT-7,CT-8.2,CT-9,CT-10,CT-11
CT-3,267,0.024889088224062786,0.028876991370653495,4.5951722080975905e-05,0.002508541033998578,1.0,2.655836284607524e-05,5.707563690338576e-05,5.703460035056927e-05,3.3466911417790714e-05,2.384299769801783e-06,0.0018053310554274529,3.696908573593397e-05,8.061594472500815e-06
CT-4,308,0.8586274298624018,0.9321075516387218,0.9983303244128823,0.9577146143521892,2.655836284607524e-05,1.0,0.9922623366644383,0.9973738987536916,0.9978426759642505,0.9944766459701122,0.9573480280924791,0.9877908058535952,0.9946727052398119
CT-5,259,0.8463123103260412,0.948361311223914,0.9957029331052049,0.9449958604883034,5.707563690338576e-05,0.9922623366644383,1.0,0.9832878229818919,0.986817287637881,0.9992049304184879,0.9592034982992973,0.9985420926195102,0.9989163436593761
CT-6,299,0.8468720376148076,0.9123011027890447,0.9945591027167925,0.9535946925739893,5.703460035056927e-05,0.9973738987536916,0.9832878229818919,1.0,0.9984163675274756,0.9865654059997596,0.9452495281807484,0.9768863461930317,0.9874049199153334
CT-7,219,0.8529024098954133,0.9205682257243879,0.9945444082177193,0.9626893648408154,3.3466911417790714e-05,0.9978426759642505,0.986817287637881,0.9984163675274756,1.0,0.9901679330884441,0.9564843053919077,0.9801630259785562,0.9902132331687101
CT-8.2,222,0.8488271627035713,0.950123446742216,0.9965984643159818,0.9516099092063418,2.384299769801783e-06,0.9944766459701122,0.9992049304184879,0.9865654059997596,0.9901679330884441,1.0,0.963651860286425,0.9975141057376572,0.999538684875326
CT-9,250,0.8514337605603027,0.9432590367567595,0.9526827103867468,0.9894331010735652,0.0018053310554274529,0.9573480280924791,0.9592034982992973,0.9452495281807484,0.9564843053919077,0.963651860286425,1.0,0.957450533837529,0.9619071384476984
CT-10,203,0.8474403012421401,0.9533545739056972,0.9931588120949189,0.9385019140051462,3.696908573593397e-05,0.9877908058535952,0.9985420926195102,0.9768863461930317,0.9801630259785562,0.9975141057376572,0.957450533837529,1.0,0.9979537766349408
CT-11,215,0.848947708852389,0.9479677452818878,0.997560705233703,0.9505320984682974,8.061594472500815e-06,0.9946727052398119,0.9989163436593761,0.9874049199153334,0.9902132331687101,0.999538684875326,0.9619071384476984,0.9979537766349408,1.0

CT-Ter-2,308,0.0,88.85045144715394,102.82580261716123,75.0442005126047,225.2563861022969,113.77559334260378,117.11053405463565,103.34450180818247,116.39702156853222,107.0248533136698,51.52948026579544,106.07969794678893,106.3691677901978
CT-Ter-10,307,88.85045144715394,0.0,143.15193523730986,91.58022792345263,239.20974357763768,173.21773740132898,176.29257573216046,160.19809843621618,174.93844962584248,163.9653781999591,100.42185963521436,164.55638830075594,162.92295162602468
CT-1,152,102.82580261716123,143.15193523730986,0.0,91.78735871497136,274.5753986134887,85.27299056621283,85.18430441097587,61.33589474052336,84.3087266532209,73.12875694299306,80.98559682784855,70.15273352356074,70.45597576247334
CT-2,251,75.0442005126047,91.58022792345263,91.78735871497136,0.0,252.37073479110344,136.12586716906333,138.9859841364608,107.6862085037249,137.42715911984712,126.08092300851219,75.18993340379009,122.9539703875666,124.07134799275553
CT-3,267,225.2563861022969,239.20974357763768,274.5753986134887,252.37073479110344,0.0,277.95490095556704,278.61840313812826,275.59531499772584,279.3900432031292,274.7473985001567,244.54743637269885,273.8672584351393,274.57067883541623
CT-4,308,113.77559334260378,173.21773740132898,85.27299056621283,136.12586716906333,277.95490095556704,0.0,10.147892019700182,52.20514271338249,7.787558537395736,15.976362133338611,80.54170372557049,18.882619040439835,18.347181044910286
CT-5,259,117.11053405463565,176.29257573216046,85.18430441097587,138.9859841364608,278.61840313812826,10.147892019700182,0.0,51.29466293220196,5.604209189792953,16.849852511861148,85.10539321104179,19.027911164843594,18.275655806658893
CT-6,299,103.34450180818247,160.19809843621618,61.33589474052336,107.6862085037249,275.59531499772584,52.20514271338249,51.29466293220196,0.0,51.098168835479996,44.63318265608791,80.11521486769085,38.95536973305073,42.07445106601794
CT-7,219,116.39702156853222,174.93844962584248,84.3087266532209,137.42715911984712,279.3900432031292,7.787558537395736,5.604209189792953,51.098168835479996,0.0,14.775559852208396,83.23489140159275,18.010184072004286,16.59278708634589
CT-8.2,222,107.0248533136698,163.9653781999591,73.12875694299306,126.08092300851219,274.7473985001567,15.976362133338611,16.849852511861148,44.63318265608791,14.775559852208396,0.0,73.77404590785835,13.064165641824943,5.794544439703297
CT-9,250,51.52948026579544,100.42185963521436,80.98559682784855,75.18993340379009,244.54743637269885,80.54170372557049,85.10539321104179,80.11521486769085,83.23489140159275,73.77404590785835,0.0,73.70969725433537,73.11092488919606
CT-10,203,106.07969794678893,164.55638830075594,70.15273352356074,122.9539703875666,273.8672584351393,18.882619040439835,19.027911164843594,38.95536973305073,18.010184072004286,13.064165641824943,73.70969725433537,0.0,10.501265434006342
CT-11,215,106.3691677901978,162.92295162602468,70.45597576247334,124.07134799275553,274.57067883541623,18.347181044910286,18.275655806658893,42.07445106601794,16.59278708634589,5.794544439703297,73.11092488919606,10.501265434006342,0.0
