CT-Ter-2,,CT-Ter-10,,CT-1,,CT-2,,CT-3,,CT-4,,CT-5,,CT-6,,CT-7,,CT-8.2,,CT-9,,CT-10,,CT-11,
Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error,Age,Error
6.42,0.62,7.48,0.67,8.02,0.62,7.39,0.69,298.1,7.2,5.2,0.51,6.9,0.4,4.95,0.31,6.9,0.7,7.51,0.32,7.76,0.43,7.7,0.34,7.59,0.24
6.56,0.55,7.49,0.39,8.04,0.52,7.4,0.5,299.2,8.8,5.23,0.32,7.0,0.6,5.0,0.5,6.9,0.6,7.54,0.29,7.76,0.2,7.71,0.29,7.62,0.22
6.7,0.38,7.52,0.74,8.04,0.62,7.42,0.62,299.4,11.1,5.25,0.31,7.0,0.6,5.01,0.4,7.0,0.4,7.6,0.45,7.79,0.54,7.72,0.37,7.63,0.51
6.86,0.57,7.52,0.82,8.06,0.57,7.42,0.35,299.4,11.3,5.27,0.52,7.0,0.6,5.01,0.35,7.0,0.6,7.61,0.32,7.79,0.41,7.73,0.26,7.64,0.42
6.89,0.64,7.63,0.56,8.14,0.91,7.44,0.51,299.5,19.2,5.3,0.56,7.0,1.0,5.01,0.18,7.0,0.6,7.64,0.35,7.79,0.39,7.79,0.29,7.66,0.51
6.97,0.36,7.66,0.51,8.14,0.41,7.44,0.61,299.6,10.6,5.56,0.29,7.0,0.6,5.02,0.56,7.0,0.6,7.65,0.46,7.82,0.46,7.85,0.23,7.68,0.19
7.02,0.57,7.71,1.16,8.15,0.63,7.45,0.69,299.8,11.7,5.57,0.34,7.0,0.7,5.07,0.31,7.0,0.5,7.68,0.35,7.83,0.38,7.88,0.39,7.71,0.4
7.24,0.52,7.93,0.88,8.17,0.8,7.46,0.45,300.0,10.9,5.6,0.87,7.0,0.4,5.08,0.66,7.0,0.7,7.7,0.32,7.83,0.49,7.95,0.31,7.71,0.69
7.31,1.15,8.18,1.55,8.18,0.64,7.46,0.67,300.1,12.5,5.63,1.14,7.0,0.6,5.09,0.5,7.0,0.8,7.73,0.37,7.84,0.43,7.95,0.43,7.79,0.37
7.35,0.42,8.57,0.92,8.2,0.76,7.47,0.52,300.2,13.0,5.81,0.33,7.0,0.9,5.1,0.44,7.0,0.6,7.74,0.43,7.87,0.37,8.06,0.31,7.81,0.76
